FIPS,INTPTLAT,INTPTLONG,2 classes,3 classes,4 classes,5 classes,6 classes,7 classes,8 classes,9 classes,10 classes,11 classes,12 classes,13 classes,14 classes,15 classes,16 classes,17 classes,18 classes,19 classes,20 classes,21 classes,22 classes,23 classes,24 classes,25 classes,26 classes,27 classes,28 classes,29 classes,30 classes,31 classes,32 classes,33 classes,34 classes,35 classes,36 classes,37 classes,38 classes,39 classes
06019001600,36.6433218,-119.6486262,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019001700,36.6164728,-119.729139,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019001800,36.65561,-119.8121471,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001900,36.7085379,-119.8872955,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002000,36.7572824,-119.8328803,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002100,36.7590503,-119.8157426,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002200,36.7585393,-119.8037024,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002300,36.756122,-119.7942162,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002400,36.758343,-119.7810169,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002501,36.761369,-119.7634701,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002502,36.7540827,-119.7634654,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002601,36.7468175,-119.7634304,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002602,36.7395157,-119.7634494,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002701,36.7468158,-119.7453946,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,16,16,16,16,16
06019002702,36.739532,-119.7453861,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002800,36.7577993,-119.7453702,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002903,36.7395376,-119.7273086,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002904,36.7468038,-119.7272843,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019002905,36.7539654,-119.7272939,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,29,29,29,29,29,29,29,29,29,29
06019002906,36.7613333,-119.7272787,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003001,36.7577958,-119.7092464,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003003,36.7395013,-119.7091535,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003004,36.746781,-119.7091585,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003102,36.8048512,-119.7158384,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003103,36.7976616,-119.7203949,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003104,36.7809252,-119.7157537,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003201,36.7759071,-119.7430752,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003202,36.7687041,-119.7431686,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003301,36.7759433,-119.763479,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003302,36.7686679,-119.7635149,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003400,36.7724799,-119.7791954,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003500,36.7722645,-119.7950446,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003600,36.7721367,-119.8108607,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003701,36.7686654,-119.8255712,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,34,34,34
06019003702,36.7758683,-119.827823,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003803,36.7715459,-119.9090383,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003804,36.7790926,-119.8713084,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003805,36.7785171,-119.8542854,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003807,36.7591628,-119.8532189,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003808,36.7590356,-119.8712132,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003809,36.7926994,-119.8702581,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003810,36.7936161,-119.8893898,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019003900,36.7082365,-120.1192112,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019004001,36.734826,-120.0782738,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019004002,36.7349023,-120.0422516,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019004100,36.795996,-119.9948664,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,12,5,5,5,5,5,5,5,5,5,2,2,0
06019004205,36.7971891,-119.8544515,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019004207,36.8163153,-119.9111587,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019004208,36.8502988,-119.8789303,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019004210,36.8321013,-119.8702212,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019004211,36.8276688,-119.8806487,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
